S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,S,Average
20,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,20,143511.47
21,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,21,143511.47
22,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,22,143511.47
23,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,23,143511.47
24,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,24,143511.47
25,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,25,143511.47
26,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,26,143511.47
27,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,27,143511.47
28,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,28,143511.47
29,143636,142850,143710,143722,143486,143579,143562,142790,143451,143688,143834,143864,143812,143327,143593,143613,143390,143532,143278,143673,143130,143151,143809,143142,143713,143164,143810,143193,143113,143541,143208,144510,143053,143704,143088,143565,143353,143198,143027,143397,143678,143764,142957,143461,142930,143467,143482,144041,143098,143699,144032,143562,143309,143549,144058,143065,143523,143718,143804,142888,144163,143076,143498,143716,143378,143687,143550,142988,143392,143128,143327,143856,143237,143880,143593,144138,142911,143729,143065,143043,143710,143300,143922,143859,143803,143324,143575,143537,143700,143510,143669,143479,143738,143355,143679,143955,143579,143470,143917,144367,29,143511.47
